Track: 36 1-36.mp3
Entries: 3 (indices 488-490)
Cache: output\whisper_cache\unit5_track_36_large_v3_turbo_wcpp_segments.json and output\whisper_cache\unit5_track_36_large_v3_turbo_wcpp_transcript.txt

[1/4] Transcribing track with Whisper...
  Detected 182 segments

[2/4] Detecting silence boundaries...
  Found 29 speech regions, 61 silence boundaries

[3/4] Building LLM prompt for matching...

================================================================================
Align the audio track `36 1-36.mp3` to these vocabulary entries.

## Whisper segments (detected by full-track transcription)
  [  0.00-  0.60] カ
  [  0.60-  0.72] ー�
  [  0.72-  1.35] �。
  [  1.35-  1.62] 道
  [  1.62-  1.82] が
  [  1.82-  1.89] 大
  [  1.89-  2.16] き
  [  2.16-  2.62] く
  [  2.62-  2.70] カ
  [  2.70-  3.21] ー�
  [  3.21-  3.24] �
  [  3.24-  3.78] して
  [  3.78-  4.31] いる
  [  4.31-  4.58] 。
  [  4.58-  4.86] コ
  [  4.86-  5.13] ー
  [  5.13-  5.67] ス
  [  5.67-  5.74] 。
  [  5.74-  6.21] この
  [  6.21-  6.75] 道
  [  6.75-  6.99] は
  [  6.99-  7.02] 市
  [  7.02-  7.29] 民
  [  7.29-  7.56] マ
  [  7.56-  8.10] ラ
  [  8.10-  8.15] ソ
  [  8.15-  8.37] ン
  [  8.37-  8.64] の
  [  8.64-  8.91] コ
  [  8.91-  9.18] ー
  [  9.18-  9.45] ス
  [  9.45-  9.99] にな
  [  9.99- 10.53] って
  [ 10.53- 11.09] いる
  [ 11.09- 11.34] 。
  [ 11.34- 11.84] レ
  [ 11.84- 11.89] ー
  [ 11.89- 12.15] ス
  [ 12.15- 12.60] 。
  [ 12.60- 12.69] 競
  [ 12.69- 13.11] 輪
  [ 13.11- 13.23] 場
  [ 13.23- 13.50] へ
  [ 13.50- 13.77] レ
  [ 13.77- 14.31] ー
  [ 14.31- 14.36] ス
  [ 14.36- 14.58] を
  [ 14.58- 14.85] 見
  [ 14.85- 15.12] に
  [ 15.12- 15.39] 行
  [ 15.39- 15.92] った
  [ 15.92- 16.20] 。
  [ 16.20- 16.63] リ
  [ 16.63- 17.20] ード
  [ 17.20- 17.28] 。
  [ 17.28- 17.55] 英
  [ 17.55- 17.67] 国
  [ 17.67- 18.19] は
  [ 18.19- 18.42] 経
  [ 18.42- 18.67] 済
  [ 18.67- 18.90] で
  [ 18.90- 19.44] 世界
  [ 19.44- 19.71] を
  [ 19.71- 19.98] リ
  [ 19.98- 20.52] ード
  [ 20.52- 21.06] して
  [ 21.06- 21.81] いる
  [ 21.81- 21.87] 。
  [ 21.87- 22.14] ト
  [ 22.14- 22.95] ップ
  [ 22.95- 23.06] 。
  [ 23.06- 23.59] 100
  [ 23.59- 24.40] メ
  [ 24.40- 24.57] ート
  [ 24.57- 24.84] ル
  [ 24.84- 25.11] 走
  [ 25.11- 25.65] で
