Track: 34 1-34.mp3
Entries: 3 (indices 468-470)
Cache: output\whisper_cache\unit5_track_34_large_v3_turbo_wcpp_segments.json and output\whisper_cache\unit5_track_34_large_v3_turbo_wcpp_transcript.txt

[1/4] Transcribing track with Whisper...
  Detected 275 segments

[2/4] Detecting silence boundaries...
  Found 43 speech regions, 89 silence boundaries

[3/4] Building LLM prompt for matching...

================================================================================
Align the audio track `34 1-34.mp3` to these vocabulary entries.

## Whisper segments (detected by full-track transcription)
  [  0.00-  0.60] ア
  [  0.60-  0.73] ン�
  [  0.73-  1.09] �ナ
  [  1.09-  1.35] 。
  [  1.35-  2.09] ア
  [  2.09-  2.11] ン�
  [  2.11-  2.45] �ナ
  [  2.45-  2.72] の
  [  2.72-  2.99] 向
  [  2.99-  3.26] き
  [  3.26-  3.80] の
  [  3.80-  4.06] せ
  [  4.06-  4.10] い
  [  4.10-  4.34] か
  [  4.34-  4.61] 、
  [  4.61-  4.88] テ
  [  4.88-  5.15] レ
  [  5.15-  5.42] ビ
  [  5.42-  5.87] の
  [  5.87-  5.96] 映
  [  5.96-  6.23] り
  [  6.23-  6.50] が
  [  6.50-  7.04] 悪
  [  7.04-  7.16] い
  [  7.16-  7.31] 。
  [  7.31-  7.58] イ
  [  7.58-  8.12] ヤ
  [  8.12-  8.37] ホ
  [  8.37-  8.39] ン
  [  8.39-  8.66] 。
  [  8.66-  8.96] 電
  [  8.96-  9.20] 車
  [  9.20-  9.48] の
  [  9.48-  9.74] 中
  [  9.74- 10.01] で
  [ 10.01- 10.33] イ
  [ 10.33- 10.55] ヤ
  [ 10.55- 10.85] ホ
  [ 10.85- 11.13] ン
  [ 11.13- 11.36] を
  [ 11.36- 11.63] つ
  [ 11.63- 12.18] けて
  [ 12.18- 12.44] 音
  [ 12.44- 12.71] 楽
  [ 12.71- 13.26] を
  [ 13.26- 13.26] 聞
  [ 13.26- 14.36] いて
  [ 14.36- 14.47] いる
  [ 14.47- 14.63] 若
  [ 14.63- 14.90] 者
  [ 14.90- 15.17] が
  [ 15.17- 15.71] 多
  [ 15.71- 15.77] い
  [ 15.77- 15.98] 。
  [ 15.98- 16.25] サ
  [ 16.25- 16.79] イ
  [ 16.79- 16.81] レ
  [ 16.81- 17.06] ン
  [ 17.06- 17.34] 。
  [ 17.34- 17.60] 工
  [ 17.60- 17.87] 場
  [ 17.87- 18.17] で
  [ 18.17- 18.59] お
  [ 18.59- 18.68] 昼
  [ 18.68- 18.95] の
  [ 18.95- 19.22] サ
  [ 19.22- 19.49] イ
  [ 19.49- 19.94] レ
  [ 19.94- 20.03] ン
  [ 20.03- 20.30] が
  [ 20.30- 21.06] 鳴
  [ 21.06- 21.12] った
  [ 21.12- 21.39] 。
  [ 21.39- 21.68] コ
  [ 21.68- 22.48] ード
  [ 22.48- 22.51] 。
  [ 22.51- 22.75] ア
  [ 22.75- 23.02] イ
  [ 23.02- 23.30] ロ
  [ 23.30- 23.56] ン
  [ 23.56- 24.10] の
  [ 24.10- 24.10] コ
  [ 24.10- 24.65] ード
  [ 24.65- 24.92] を
  [ 24.92- 25.46] コ
  [ 25.46- 25.47] ン
  [ 25.47- 25.73] セ
  [ 25.73- 26.55] ント
  [ 26.55- 26.82] に
  [ 26.82- 26.84] つ
  [ 26.84- 27.37] ない
  [ 27.37- 27.63] だ
  [ 27.63- 27.96] 。
  [ 27.96- 28.30] モ
  [ 28.30- 28.45] ニ
  [ 28.45- 28.99] ター
  [ 28.99- 30.00] 。
  [ 30.00- 30.60] メ
  [ 30.60- 30.62] ー
  [ 30.62- 31.56] ター
  [ 31.56- 31.87] 。
  [ 31.87- 32.10] メ
  [ 32.10- 32.18] ー
  [ 32.18- 32.85] ター
  [ 32.85- 33.12] を
  [ 33.12- 33.43] 見
  [ 33.43- 34.05] る
  [ 34.05- 34.10] と
  [ 34.10- 34.36] 電
  [ 34.36- 34.69] 気
  [ 34.69- 34.98] や
  [ 34.98- 35.29] ガ
  [ 35.29- 35.91] ス
  [ 35.91- 35.91] の
  [ 35.91- 36.22] 使
  [ 36.22- 36.53] 用
  [ 36.53- 37.15] 量
  [ 37.15- 37.16] が
  [ 37.16- 38.09] わか
  [ 38.09- 38.37] る
  [ 38.37- 38.40] 。
  [ 38.40- 38.71] ペ
  [ 38.71- 39.02] ア
  [ 39.02- 39.48] 。
  [ 39.48- 39.64] 男
  [ 39.64- 39.95] 女
  [ 39.95- 40.26] が
  [ 40.26- 40.57] ペ
  [ 40.57- 40.88] ア
  [ 40.88- 41.51] にな
  [ 41.51- 42.14] って
  [ 42.14- 42.44] ゲ
  [ 42.44- 43.07] ーム
  [ 43.07- 43.39] を
  [ 43.39- 44.33] した
  [ 44.33- 44.47] 。
  [ 44.47- 44.64] リ
  [ 44.64- 44.94] ズ
  [ 44.94- 45.57] ム
  [ 45.57- 45.75] 。
  [ 45.75- 46.20] この
  [ 46.20- 46.81] 曲
  [ 46.81- 46.82] の
  [ 46.82- 47.13] リ
  [ 47.13- 47.44] ズ
  [ 47.44- 47.74] ム
  [ 47.74- 48.17] は
  [ 48.17- 48.68] 三
  [ 48.68- 48.68] 拍
  [ 48.68- 48.99] 子
  [ 48.99- 49.30] だ
  [ 49.30- 49.92] 。
  [ 49.92- 49.94] ア
  [ 49.94- 50.22] ク
  [ 50.22- 51.06] セ
  [ 51.06- 51.17] ント
  [ 51.17- 51.48] 。
  [ 51.48- 51.79] お
  [ 51.79- 52.10] 母
  [ 52.10- 52.74] さん
  [ 52.74- 53.04] の
  [ 53.04- 53.38] ア
  [ 53.38- 53.65] ク
  [ 53.65- 54.60] セ
  [ 54.60- 54.60] ント
  [ 54.60- 54.91] は
  [ 54.91- 55.47] カ
  [ 55.47- 55.53] の
  [ 55.53- 55.85] 音
  [ 55.85- 56.78] に
  [ 56.78- 56.84] ある
  [ 56.84- 57.09] 。
  [ 57.09- 57.40] ア
  [ 57.40- 58.02] ル
  [ 58.02- 58.28] フ
  [ 58.28- 58.33] ァ
