Track: 37 1-37.mp3
Entries: 4 (indices 505-508)
Cache: output\whisper_cache\unit5_track_37_large_v3_turbo_wcpp_segments.json and output\whisper_cache\unit5_track_37_large_v3_turbo_wcpp_transcript.txt

[1/4] Transcribing track with Whisper...
  Detected 352 segments

[2/4] Detecting silence boundaries...
  Found 44 speech regions, 91 silence boundaries

[3/4] Building LLM prompt for matching...

================================================================================
Align the audio track `37 1-37.mp3` to these vocabulary entries.

## Whisper segments (detected by full-track transcription)
  [  0.00-  0.25] キ
  [  0.25-  0.61] ャ
  [  0.61-  0.66] プ
  [  0.66-  0.98] テ
  [  0.98-  1.10] ン
  [  1.10-  1.54] 。
  [  1.54-  1.55] ス
  [  1.55-  1.94] ポ
  [  1.94-  2.13] ー�
  [  2.13-  2.42] �の
  [  2.42-  2.64] キ
  [  2.64-  2.86] ャ
  [  2.86-  3.08] プ
  [  3.08-  3.12] テ
  [  3.12-  3.73] ン
  [  3.73-  3.74] は
  [  3.74-  3.97] 、
  [  3.97-  4.18] 責
  [  4.18-  4.40] 任
  [  4.40-  4.62] 感
  [  4.62-  4.84] と
  [  4.84-  5.06] チ
  [  5.06-  5.51] ーム
  [  5.51-  5.74] を
  [  5.74-  5.95] ま
  [  5.95-  6.17] と
  [  6.17-  6.39] め
  [  6.39-  6.61] る
  [  6.61-  6.82] 力
  [  6.82-  7.27] が
  [  7.27-  7.27] 求
  [  7.27-  7.53] め
  [  7.53-  7.79] ら
  [  7.79-  8.32] れる
  [  8.32-  8.55] 。
  [  8.55-  8.62] サ
  [  8.62-  8.90] ー
  [  8.90-  9.04] ク
  [  9.04-  9.28] ル
  [  9.28-  9.61] 。
  [  9.61-  9.92] 学
  [  9.92-  9.93] 生
  [  9.93- 10.20] 時
  [ 10.20- 10.36] 代
  [ 10.36- 10.58] 、
  [ 10.58- 10.75] 演
  [ 10.75- 11.24] 劇
  [ 11.24- 11.30] の
  [ 11.30- 11.46] サ
  [ 11.46- 11.68] ー
  [ 11.68- 11.90] ク
  [ 11.90- 12.12] ル
  [ 12.12- 12.34] に
  [ 12.34- 12.62] 入
  [ 12.62- 13.46] って
  [ 13.46- 13.52] いた
  [ 13.52- 13.70] 。
  [ 13.70- 14.04] キ
  [ 14.04- 14.30] ャ
  [ 14.30- 14.56] ン�
  [ 14.56- 14.78] �ス
  [ 14.78- 15.01] 。
  [ 15.01- 15.28] この
  [ 15.28- 15.86] 大
  [ 15.86- 16.04] 学
  [ 16.04- 16.11] の
  [ 16.11- 16.33] キ
  [ 16.33- 16.55] ャ
  [ 16.55- 16.92] ン�
  [ 16.92- 17.20] �ス
  [ 17.20- 17.42] は
  [ 17.42- 17.66] 、
  [ 17.66- 17.91] 緑
  [ 17.91- 18.09] が
  [ 18.09- 18.31] 豊
  [ 18.31- 18.52] か
  [ 18.52- 18.74] だ
  [ 18.74- 19.19] 。
  [ 19.19- 19.25] オ
  [ 19.25- 19.42] リ
  [ 19.42- 19.77] エ
  [ 19.77- 20.03] ン�
  [ 20.03- 20.63] �ー
  [ 20.63- 20.75] ショ
  [ 20.75- 20.96] ン
  [ 20.96- 21.18] 。
  [ 21.18- 21.39] 新
  [ 21.39- 21.62] 学
  [ 21.62- 21.67] 期
  [ 21.67- 22.12] 、
  [ 22.12- 22.43] 学
  [ 22.43- 22.50] 生
  [ 22.50- 22.72] を
  [ 22.72- 22.92] 対
  [ 22.92- 23.16] 象
  [ 23.16- 23.53] に
  [ 23.53- 23.60] 授
  [ 23.60- 23.82] 業
  [ 23.82- 24.29] 登録
  [ 24.29- 24.49] の
  [ 24.49- 24.93] オ
  [ 24.93- 24.98] リ
  [ 24.98- 25.15] エ
  [ 25.15- 25.52] ン�
  [ 25.52- 25.81] �ー
  [ 25.81- 26.26] ショ
  [ 26.26- 26.54] ン
  [ 26.54- 26.70] が
  [ 26.70- 26.92] あ
  [ 26.92- 27.59] った
  [ 27.59- 27.59] 。
  [ 27.59- 27.85] カ
  [ 27.85- 28.06] リ
  [ 28.06- 28.37] キ
  [ 28.37- 28.63] ュ
  [ 28.63- 28.90] ラ
  [ 28.90- 29.10] ム
  [ 29.10- 30.00] 。
  [ 30.00- 30.50] カ
  [ 30.50- 30.61] リ
  [ 30.61- 30.75] キ
  [ 30.75- 31.00] ュ
  [ 31.00- 31.23] ラ
  [ 31.23- 31.55] ム
  [ 31.55- 31.91] に
  [ 31.91- 31.99] 沿
  [ 31.99- 32.49] って
  [ 32.49- 32.75] 授
  [ 32.75- 32.97] 業
  [ 32.97- 33.23] を
  [ 33.23- 33.73] 行
  [ 33.73- 33.74] う
  [ 33.74- 33.98] 。
  [ 33.98- 34.22] プ
  [ 34.22- 34.52] ロ
  [ 34.52- 34.73] グ
  [ 34.73- 34.98] ラ
  [ 34.98- 35.23] ム
  [ 35.23- 35.48] 。
  [ 35.48- 35.74] 大
  [ 35.74- 35.98] 会
  [ 35.98- 36.23] の
  [ 36.23- 36.47] 参
  [ 36.47- 36.72] 加
